SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,PaperlessBilling,NumServices,MonthlyCharges,TotalCharges,Churn
0,No,Yes,6,One year,No,No internet service,No,Mailed check,No,1,18.0,88.87,No
0,No,No,56,Two year,DSL,Yes,No,Electronic check,Yes,1,47.13,2635.1,No
0,Yes,No,47,One year,Fiber optic,No internet service,No internet service,Electronic check,Yes,4,77.51,3576.56,No
0,No,Yes,32,Month-to-month,DSL,No internet service,No,Credit card,No,6,84.25,2719.07,No
0,Yes,Yes,31,Two year,DSL,No,No,Mailed check,Yes,4,64.27,2033.26,No
0,No,No,62,Month-to-month,Fiber optic,Yes,No,Electronic check,Yes,6,97.75,6060.18,No
1,No,No,6,Two year,DSL,No internet service,No,Electronic check,No,6,73.39,332.45,Yes
0,Yes,No,50,Month-to-month,Fiber optic,No,No,Credit card,Yes,2,82.63,4121.38,Yes
0,Yes,No,14,Month-to-month,Fiber optic,No,No,Mailed check,No,1,80.37,1069.44,Yes
0,No,No,6,Month-to-month,DSL,No internet service,No,Mailed check,Yes,4,53.62,297.34,Yes
0,Yes,Yes,38,Month-to-month,Fiber optic,No,No,Electronic check,Yes,4,95.86,3700.76,Yes
0,No,No,71,Two year,Fiber optic,No internet service,No,Electronic check,Yes,5,99.97,7000.49,No
0,No,Yes,53,Month-to-month,No,No,No internet service,Credit card,No,4,37.6,1960.15,No
1,No,No,55,One year,DSL,Yes,Yes,Bank transfer,No,6,71.29,3954.13,No
0,Yes,Yes,52,Month-to-month,No,No internet service,Yes,Mailed check,No,6,28.38,1447.68,No
0,No,Yes,57,Two year,No,No,Yes,Credit card,Yes,4,30.54,1709.64,No
0,No,No,37,Month-to-month,Fiber optic,No,No,Mailed check,No,4,91.11,3452.37,Yes
1,Yes,No,9,Month-to-month,Fiber optic,No,No,Credit card,Yes,1,81.7,750.44,Yes
0,Yes,No,61,Month-to-month,Fiber optic,Yes,No,Electronic check,No,5,96.87,5946.44,No
0,Yes,No,32,One year,No,No,Yes,Mailed check,Yes,5,42.05,1365.39,No
1,Yes,No,36,Two year,DSL,No,No internet service,Credit card,No,6,83.56,3014.63,Yes
0,No,No,27,Two year,No,No internet service,No,Credit card,Yes,1,30.53,874.87,No
1,Yes,No,13,Month-to-month,No,No internet service,No,Bank transfer,Yes,1,22.14,364.03,Yes
0,No,No,67,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,5,105.59,7007.19,No
0,Yes,No,57,Month-to-month,Fiber optic,Yes,Yes,Credit card,Yes,3,76.92,4383.03,No
0,Yes,No,47,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,4,79.17,3719.26,No
1,Yes,No,29,One year,Fiber optic,Yes,No,Electronic check,No,3,80.97,2330.96,Yes
0,No,No,60,Month-to-month,No,No internet service,No,Mailed check,Yes,4,33.45,2046.24,No
0,No,No,39,One year,DSL,No,Yes,Bank transfer,Yes,4,60.81,2381.87,Yes
0,Yes,Yes,32,Two year,DSL,No internet service,No,Bank transfer,No,2,58.79,1958.3,No
0,No,Yes,32,Month-to-month,DSL,No,Yes,Credit card,No,5,67.3,2197.61,Yes
0,Yes,No,16,Month-to-month,No,Yes,No,Mailed check,Yes,3,33.45,589.79,No
0,Yes,Yes,6,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,4,88.35,482.13,Yes
1,Yes,No,40,Month-to-month,No,No,Yes,Electronic check,Yes,4,24.13,932.96,Yes
0,No,No,64,Month-to-month,Fiber optic,No internet service,Yes,Credit card,Yes,5,83.41,5309.29,Yes
0,No,Yes,4,One year,DSL,No internet service,No,Electronic check,No,2,51.69,259.68,No
0,No,No,62,Month-to-month,No,No,No internet service,Credit card,No,1,19.44,1166.59,Yes
0,Yes,Yes,60,One year,Fiber optic,No,No,Electronic check,Yes,2,77.61,4619.08,No
0,Yes,No,20,Two year,Fiber optic,No,Yes,Mailed check,Yes,6,105.42,2063.55,Yes
0,No,No,46,Two year,DSL,No internet service,No internet service,Credit card,No,2,53.55,2573.42,Yes
0,Yes,Yes,12,One year,DSL,No internet service,No internet service,Mailed check,Yes,2,46.07,547.15,No
0,No,Yes,55,Month-to-month,DSL,No,No,Credit card,No,6,67.24,3719.4,No
0,No,No,51,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes,2,89.26,4506.64,Yes
0,Yes,No,25,Month-to-month,Fiber optic,Yes,No,Mailed check,Yes,3,92.69,2355.62,Yes
0,No,Yes,4,Two year,DSL,No,No internet service,Bank transfer,No,3,62.08,177.37,Yes
0,No,No,70,Two year,DSL,No internet service,No,Credit card,No,4,53.63,3714.94,No
0,Yes,Yes,32,Month-to-month,DSL,No internet service,No,Electronic check,Yes,4,64.84,2045.63,Yes
0,No,No,65,Month-to-month,Fiber optic,No,No,Electronic check,No,4,90.3,5878.25,Yes
1,No,Yes,49,Month-to-month,No,No,No internet service,Bank transfer,Yes,4,38.15,1837.63,No
0,Yes,No,56,Month-to-month,Fiber optic,Yes,Yes,Credit card,Yes,6,93.58,5301.44,No
0,No,Yes,55,Two year,DSL,Yes,Yes,Credit card,Yes,4,60.82,3365.23,Yes
0,Yes,No,14,Month-to-month,Fiber optic,No,No internet service,Credit card,Yes,4,84.16,1150.66,Yes
0,No,No,26,Month-to-month,No,No internet service,Yes,Mailed check,No,6,40.13,1083.28,No
0,No,Yes,34,Month-to-month,No,No,No,Mailed check,Yes,1,32.7,1096.07,No
0,No,No,36,Month-to-month,No,No,Yes,Credit card,Yes,6,52.29,1858.82,Yes
0,No,Yes,3,Month-to-month,No,No,Yes,Credit card,Yes,2,27.29,117.7,No
1,No,No,39,Two year,Fiber optic,Yes,Yes,Credit card,No,2,81.11,3065.18,No
0,Yes,No,11,Month-to-month,No,Unknown,No,Credit card,No,1,26.84,324.63,No
0,Yes,No,54,One year,DSL,No internet service,No,Credit card,Yes,4,77.06,4132.72,No
0,Yes,Yes,49,Month-to-month,No,Yes,No,Electronic check,Yes,5,47.74,2310.68,No
1,No,Yes,67,Month-to-month,No,No,No,Electronic check,No,3,38.51,2658.5,No
0,Yes,Yes,54,Month-to-month,No,No,No internet service,Credit card,Yes,4,38.23,2043.17,No
0,Yes,No,26,Month-to-month,Fiber optic,Yes,No,Mailed check,No,3,80.89,2141.38,Yes
0,No,Yes,70,Month-to-month,No,Yes,No internet service,Electronic check,Yes,5,50.8,3567.17,No
0,Yes,No,29,Month-to-month,DSL,Yes,No,Mailed check,No,6,75.91,2216.71,No
1,Yes,No,23,Two year,Fiber optic,No,Yes,Bank transfer,Yes,5,87.52,2002.94,No
