customerID,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,PaperlessBilling,NumServices,MonthlyCharges,TotalCharges,Churn
CUST-10000,0,No,Yes,6,One year,No,No internet service,No,Mailed check,No,1,18.0,88.87,No
CUST-10001,0,No,No,56,Two year,DSL,Yes,No,Electronic check,Yes,1,47.13,2635.1,No
CUST-10002,0,Yes,No,47,One year,Fiber optic,No internet service,No internet service,Electronic check,Yes,4,77.51,3576.56,No
CUST-10003,0,No,Yes,32,Month-to-month,DSL,No internet service,No,Credit card,No,6,84.25,2719.07,No
CUST-10004,0,Yes,Yes,31,Two year,DSL,No,No,Mailed check,Yes,4,64.27,2033.26,No
CUST-10005,0,No,No,62,Month-to-month,Fiber optic,Yes,No,Electronic check,Yes,6,97.75,6060.18,No
CUST-10006,1,No,No,6,Two year,DSL,No internet service,No,Electronic check,No,6,73.39,332.45,Yes
CUST-10007,0,Yes,No,50,Month-to-month,Fiber optic,No,No,Credit card,Yes,2,82.63,4121.38,Yes
CUST-10008,0,Yes,No,14,Month-to-month,Fiber optic,No,No,Mailed check,No,1,80.37,1069.44,Yes
CUST-10009,0,No,No,6,Month-to-month,DSL,No internet service,No,Mailed check,Yes,4,53.62,297.34,Yes
CUST-10010,0,Yes,Yes,38,Month-to-month,Fiber optic,No,No,Electronic check,Yes,4,95.86,3700.76,Yes
CUST-10011,0,No,No,71,Two year,Fiber optic,No internet service,No,Electronic check,Yes,5,99.97,7000.49,No
CUST-10012,0,No,Yes,53,Month-to-month,No,No,No internet service,Credit card,No,4,37.6,1960.15,No
CUST-10013,1,No,No,55,One year,DSL,Yes,Yes,Bank transfer,No,6,71.29,3954.13,No
CUST-10014,0,Yes,Yes,52,Month-to-month,No,No internet service,Yes,Mailed check,No,6,28.38,1447.68,No
CUST-10015,0,No,Yes,57,Two year,No,No,Yes,Credit card,Yes,4,30.54,1709.64,No
CUST-10016,0,No,No,37,Month-to-month,Fiber optic,No,No,Mailed check,No,4,91.11,3452.37,Yes
CUST-10017,1,Yes,No,9,Month-to-month,Fiber optic,No,No,Credit card,Yes,1,81.7,750.44,Yes
CUST-10018,0,Yes,No,61,Month-to-month,Fiber optic,Yes,No,Electronic check,No,5,96.87,5946.44,No
CUST-10019,0,Yes,No,32,One year,No,No,Yes,Mailed check,Yes,5,42.05,1365.39,No
CUST-10020,1,Yes,No,36,Two year,DSL,No,No internet service,Credit card,No,6,83.56,3014.63,Yes
CUST-10021,0,No,No,27,Two year,No,No internet service,No,Credit card,Yes,1,30.53,874.87,No
CUST-10022,1,Yes,No,13,Month-to-month,No,No internet service,No,Bank transfer,Yes,1,22.14,364.03,Yes
CUST-10023,0,No,No,67,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,5,105.59,7007.19,No
CUST-10024,0,Yes,No,57,Month-to-month,Fiber optic,Yes,Yes,Credit card,Yes,3,76.92,4383.03,No
CUST-10025,0,Yes,No,47,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,4,79.17,3719.26,No
CUST-10026,1,Yes,No,29,One year,Fiber optic,Yes,No,Electronic check,No,3,80.97,2330.96,Yes
CUST-10027,0,No,No,60,Month-to-month,No,No internet service,No,Mailed check,Yes,4,33.45,2046.24,No
CUST-10028,0,No,No,39,One year,DSL,No,Yes,Bank transfer,Yes,4,60.81,2381.87,Yes
CUST-10029,0,Yes,Yes,32,Two year,DSL,No internet service,No,Bank transfer,No,2,58.79,1958.3,No
CUST-10030,0,No,Yes,32,Month-to-month,DSL,No,Yes,Credit card,No,5,67.3,2197.61,Yes
CUST-10031,0,Yes,No,16,Month-to-month,No,Yes,No,Mailed check,Yes,3,33.45,589.79,No
CUST-10032,0,Yes,Yes,6,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,4,88.35,482.13,Yes
CUST-10033,1,Yes,No,40,Month-to-month,No,No,Yes,Electronic check,Yes,4,24.13,932.96,Yes
CUST-10034,0,No,No,64,Month-to-month,Fiber optic,No internet service,Yes,Credit card,Yes,5,83.41,5309.29,Yes
CUST-10035,0,No,Yes,4,One year,DSL,No internet service,No,Electronic check,No,2,51.69,259.68,No
CUST-10036,0,No,No,62,Month-to-month,No,No,No internet service,Credit card,No,1,19.44,1166.59,Yes
CUST-10037,0,Yes,Yes,60,One year,Fiber optic,No,No,Electronic check,Yes,2,77.61,4619.08,No
CUST-10038,0,Yes,No,20,Two year,Fiber optic,No,Yes,Mailed check,Yes,6,105.42,2063.55,Yes
CUST-10039,0,No,No,46,Two year,DSL,No internet service,No internet service,Credit card,No,2,53.55,2573.42,Yes
CUST-10040,0,Yes,Yes,12,One year,DSL,No internet service,No internet service,Mailed check,Yes,2,46.07,547.15,No
CUST-10041,0,No,Yes,55,Month-to-month,DSL,No,No,Credit card,No,6,67.24,3719.4,No
CUST-10042,0,No,No,51,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes,2,89.26,4506.64,Yes
CUST-10043,0,Yes,No,25,Month-to-month,Fiber optic,Yes,No,Mailed check,Yes,3,92.69,2355.62,Yes
CUST-10044,0,No,Yes,4,Two year,DSL,No,No internet service,Bank transfer,No,3,62.08,177.37,Yes
CUST-10045,0,No,No,70,Two year,DSL,No internet service,No,Credit card,No,4,53.63,3714.94,No
CUST-10046,0,Yes,Yes,32,Month-to-month,DSL,No internet service,No,Electronic check,Yes,4,64.84,2045.63,Yes
CUST-10047,0,No,No,65,Month-to-month,Fiber optic,No,No,Electronic check,No,4,90.3,5878.25,Yes
CUST-10048,1,No,Yes,49,Month-to-month,No,No,No internet service,Bank transfer,Yes,4,38.15,1837.63,No
CUST-10049,0,Yes,No,56,Month-to-month,Fiber optic,Yes,Yes,Credit card,Yes,6,93.58,5301.44,No
CUST-10050,0,No,Yes,55,Two year,DSL,Yes,Yes,Credit card,Yes,4,60.82,3365.23,Yes
CUST-10051,0,Yes,No,14,Month-to-month,Fiber optic,No,No internet service,Credit card,Yes,4,84.16,1150.66,Yes
CUST-10052,0,No,No,26,Month-to-month,No,No internet service,Yes,Mailed check,No,6,40.13,1083.28,No
CUST-10053,0,No,Yes,34,Month-to-month,No,No,No,Mailed check,Yes,1,32.7,1096.07,No
CUST-10054,0,No,No,36,Month-to-month,No,No,Yes,Credit card,Yes,6,52.29,1858.82,Yes
CUST-10055,0,No,Yes,3,Month-to-month,No,No,Yes,Credit card,Yes,2,27.29,117.7,No
CUST-10056,1,No,No,39,Two year,Fiber optic,Yes,Yes,Credit card,No,2,81.11,3065.18,No
CUST-10057,0,Yes,No,11,Month-to-month,No,,No,Credit card,No,1,26.84,324.63,No
CUST-10058,0,Yes,No,54,One year,DSL,No internet service,No,Credit card,Yes,4,77.06,4132.72,No
CUST-10059,0,Yes,Yes,49,Month-to-month,No,Yes,No,Electronic check,Yes,5,47.74,2310.68,No
CUST-10060,1,No,Yes,67,Month-to-month,No,No,No,Electronic check,No,3,38.51,2658.5,No
CUST-10061,0,Yes,Yes,54,Month-to-month,No,No,No internet service,Credit card,Yes,4,38.23,2043.17,No
CUST-10062,0,Yes,No,26,Month-to-month,Fiber optic,Yes,No,Mailed check,No,3,80.89,2141.38,Yes
CUST-10063,0,No,Yes,70,Month-to-month,No,Yes,No internet service,Electronic check,Yes,5,50.8,3567.17,No
CUST-10064,0,Yes,No,29,Month-to-month,DSL,Yes,No,Mailed check,No,6,75.91,2216.71,No
CUST-10065,1,Yes,No,23,Two year,Fiber optic,No,Yes,Bank transfer,Yes,5,87.52,2002.94,No
CUST-10066,0,Yes,No,66,One year,Fiber optic,No internet service,No internet service,,Yes,3,86.22,5678.41,No
CUST-10067,0,Yes,No,27,Two year,Fiber optic,No,No internet service,Credit card,Yes,5,97.52,2694.16,No
CUST-10068,0,No,Yes,5,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes,1,61.93,346.87,No
CUST-10069,0,Yes,No,34,One year,Fiber optic,No,No,Mailed check,Yes,6,91.47,3089.99,No
CUST-10070,1,Yes,Yes,58,One year,DSL,No internet service,No,Electronic check,No,6,74.18,4260.6,No
CUST-10071,0,No,No,13,Month-to-month,DSL,Yes,Yes,Credit card,Yes,4,51.45,645.47,No
CUST-10072,0,No,No,33,Month-to-month,Fiber optic,,No,Electronic check,Yes,4,77.4,2593.46,Yes
CUST-10073,1,No,No,9,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,2,77.38,743.57,Yes
CUST-10074,1,No,No,50,Two year,Fiber optic,No internet service,Yes,Bank transfer,Yes,3,86.45,4344.7,No
CUST-10075,0,No,Yes,34,Month-to-month,DSL,No,No internet service,Bank transfer,Yes,1,52.73,1728.15,Yes
CUST-10076,0,Yes,No,24,Month-to-month,No,Yes,No,Mailed check,Yes,3,42.99,1061.91,Yes
CUST-10077,0,No,Yes,16,Two year,Fiber optic,No,No internet service,Bank transfer,No,4,88.49,1467.98,Yes
CUST-10078,0,No,No,41,Month-to-month,DSL,Yes,No,Bank transfer,No,3,56.26,2313.6,No
CUST-10079,0,Yes,No,48,Two year,DSL,No,No internet service,Electronic check,Yes,5,59.66,2942.87,No
CUST-10080,0,Yes,Yes,68,Two year,Fiber optic,No,No,Mailed check,No,6,94.69,6386.08,No
CUST-10081,1,Yes,No,31,Two year,Fiber optic,No,No,Mailed check,Yes,4,92.25,2887.14,No
CUST-10082,1,No,No,11,Two year,DSL,Yes,Yes,Electronic check,Yes,3,63.02,652.41,No
CUST-10083,1,No,Yes,60,Month-to-month,DSL,No,No,Bank transfer,No,2,55.59,3377.74,No
